Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[13214983.20324786],[2.26582668]
150,[4965088.76852307],[-50.74624367]
250,[4247929.27486555],[-59.90643647]
350,[3671453.66720055],[-63.41364913]
450,[3127452.82206987],[-68.85915543]
550,[2652081.29184904],[-72.67741414]
650,[2266093.73493182],[-73.82849811]
750,[2039617.64500124],[-78.87412035]
850,[1828796.07892127],[-83.00229451]
950,[1669968.32966917],[-87.64306128]
1050,[1769475.26119243],[-86.58432578]
