Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
500,[4453474.6468363],[-88.06348492]
600,[3894087.37661511],[-88.23017875]
700,[3250010.80635824],[-94.0351953]
800,[3002937.40379774],[-97.15108654]
900,[2703834.7112386],[-101.41997599]
1000,[2427363.75404535],[-107.00157756]
1100,[2251952.18893799],[-109.68365769]
