Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[8639024.76858858],[38.72226473]
150,[3898032.8635457],[-34.3894705]
250,[3202044.89093819],[-48.01270579]
350,[2822699.49745703],[-56.4815178]
450,[2461402.93274883],[-63.16713019]
550,[2229247.47601863],[-68.61804597]
650,[1943937.00786941],[-74.10316825]
750,[1725913.7621914],[-78.50626907]
850,[1567667.02865206],[-82.50990621]
950,[1461684.07379082],[-85.32175255]
1050,[1314624.0312467],[-89.08897434]
