Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
500,[3118179.30790813],[-87.38925943]
600,[2649870.47836643],[-91.54567167]
700,[2422980.68097621],[-98.73492054]
800,[2305515.48631835],[-101.17444672]
900,[1767993.81502536],[-103.32526239]
1000,[1700238.55881184],[-109.13447173]
1100,[1438096.38282088],[-110.88789527]
