Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
500,[3989354.17532947],[-87.76072876]
600,[3183730.4147343],[-90.88453301]
700,[2753376.86861168],[-96.00936353]
800,[2385001.32958496],[-99.79602128]
900,[2036578.0516943],[-103.78453735]
1000,[1934429.96683785],[-105.46364021]
1100,[1449799.11744405],[-106.42505959]
