Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[18249879.77963619],[-10.61509846]
150,[7892229.2000943],[-60.59233338]
250,[5638395.10241035],[-70.54697606]
350,[4384500.80093641],[-78.41683144]
450,[3635664.82637826],[-86.79414375]
550,[2825289.67297993],[-91.48993675]
650,[2606079.66794641],[-94.85665551]
750,[2362712.02442277],[-100.2883905]
850,[1985354.5602972],[-106.02715936]
950,[1823985.58277668],[-108.37793085]
1050,[1654398.52944128],[-113.8026363]
