Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[14619670.15756019],[-2.84974119]
150,[7487549.0755806],[-56.73924966]
250,[5157764.29198424],[-67.14041007]
350,[4105013.51393231],[-73.48225677]
450,[3346640.00459218],[-79.83262922]
550,[2793247.29565649],[-84.45836451]
650,[2375485.73683926],[-88.9297772]
750,[2067095.28475111],[-92.22583945]
850,[1814490.41372482],[-95.35517319]
950,[1654845.84101576],[-97.96513554]
1050,[1500433.18888874],[-102.1510789]
