Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[19019214.55973016],[-10.56031532]
150,[7450791.25922733],[-57.82847931]
250,[5307082.77020976],[-69.30028045]
350,[4195311.51810533],[-75.74166796]
450,[3474425.80652656],[-81.80966841]
550,[2890071.77136495],[-87.07056385]
650,[2436046.11959711],[-92.72125862]
750,[2221984.81131728],[-96.71898225]
850,[1950755.18300981],[-100.59695154]
950,[1715702.37422792],[-103.25503614]
1050,[1626231.63337041],[-107.61057955]
