Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[5844074.3023314],[-16.2261355]
150,[4534224.89900232],[-18.19234294]
250,[3066119.64723976],[-2.78721576]
350,[2448636.35332075],[2.66198254]
450,[2105590.60821244],[5.03001677]
550,[1910664.277702],[1.06665043]
650,[1709621.33772456],[-9.77269363]
750,[1500853.46732293],[-12.13208239]
850,[1380639.12554415],[-22.91722927]
950,[1251951.8914199],[-28.33906289]
1050,[1081293.62608182],[-31.28893057]
