Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[7324937.7280202],[-31.39378144]
150,[4250303.36950743],[-42.96486268]
250,[3465384.51112258],[-47.31152835]
350,[3062017.67358513],[-51.5616782]
450,[2802677.17770163],[-56.18706813]
550,[2590130.96897217],[-60.42059434]
650,[2369449.44616832],[-61.25155504]
750,[2588548.78287048],[-70.37204084]
850,[2393925.46864143],[-76.74169198]
950,[2306519.84845535],[-82.28873898]
1050,[2177024.30084534],[-88.1675312]
