Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[7115031.95370172],[-29.76185848]
150,[4119033.6491377],[-43.07733449]
250,[3302624.2810542],[-47.25989261]
350,[2866070.42407409],[-51.21785534]
450,[2528147.53427913],[-55.53992713]
550,[2334116.02321864],[-59.90768006]
650,[2167041.72881687],[-63.94574543]
750,[2024715.45724561],[-67.09701922]
850,[1858941.94236292],[-69.62572543]
950,[2047289.53040884],[-78.36505045]
1050,[1901780.49002392],[-83.02142011]
