Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[11017271.86489304],[-3.68677437]
150,[8159810.79187529],[-13.15757813]
250,[8852753.9381381],[-40.53390077]
350,[7478901.25885463],[-50.88256063]
450,[6529756.69961328],[-61.46436311]
550,[5708072.25212898],[-69.94516719]
650,[4956644.58946441],[-78.3656069]
750,[4385264.33492828],[-84.18731127]
850,[3924173.93160352],[-90.47057685]
950,[3559989.35104513],[-95.88506026]
1050,[3311916.95583374],[-98.45538814]
