Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[17494492.81845098],[-31.54008584]
150,[5976561.27884806],[-28.36932646]
250,[4152408.36360434],[-28.28835018]
350,[3072737.46544077],[-27.34657013]
450,[2626963.99313019],[-22.97091171]
550,[2302519.65242771],[-25.18478207]
650,[1920746.10368532],[-36.85991244]
750,[1690458.85182038],[-41.7115319]
850,[1493512.96303592],[-43.61348549]
950,[1354254.18538197],[-48.70123289]
1050,[1240319.30332738],[-52.59925448]
