Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,[17162450.68958976],[-49.30773272]
150,[7703593.69826057],[-77.38059083]
250,[4802795.36093447],[-81.58523645]
350,[3521976.95899949],[-85.08343703]
450,[2783711.07765955],[-88.36309638]
550,[2316592.22298133],[-91.44609698]
650,[1947844.11794368],[-94.32381567]
750,[1696843.1655067],[-96.73735115]
850,[1486089.78471177],[-99.18545854]
950,[1358753.40169711],[-101.13978749]
1050,[1228037.79119638],[-103.73076687]
