Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,5894741.0403151885,2.2447013702808567
150,334926.7213357575,-12.775459953199537
250,281038.42977035034,-12.016087707046516
350,255099.02398702945,-12.437871069251235
450,233974.14414893798,-9.444365385563726
550,214326.83772951138,-9.128508471065953
650,207302.0497144447,-12.405224884903415
750,191749.50103289064,-16.717750477075036
850,273380.50830209814,-35.72863522593149
950,264602.89830456366,-43.66529346882436
1050,280333.1897664781,-42.6583832601034
