Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,4663424.140535457,-8.545140038175234
150,4175690.4164429875,-25.320610180463106
250,3712027.955413008,-32.69178952080733
350,3201168.3799745077,-42.238913258117854
450,2846529.609202921,-51.1362825825349
550,2467321.5068411557,-55.8971466241257
650,2164025.0185958324,-60.92248432161376
750,1936070.1695157161,-64.34246883405862
850,1759806.3752484345,-69.33082705437815
950,1634099.9539933668,-71.79438596289641
1050,1507489.442481006,-74.96484100786094
