Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,1784329.4082364154,4.726834271121816
150,2085833.722786306,-58.63749423375064
250,1342988.7830594247,-69.37716354072617
350,1009648.239470978,-73.10684943828035
450,775628.9790688606,-76.24822519229402
550,671898.7662414174,-79.01479742537826
650,563557.5426397037,-80.99605123182995
750,494683.1300822933,-82.38068276952737
850,437795.03434092953,-84.06671816710947
950,399656.99060756876,-85.09619309895994
1050,359823.26658680214,-86.20820231067927
