Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,9012902.07137587,-77.88071076137619
150,3329560.9976158347,-78.24789816177696
250,2145026.7317977925,-78.11376931656088
350,1562926.9650948057,-77.67219866638288
450,1240340.5905727043,-78.60796072430023
550,1049728.4172574193,-79.6380833037059
650,902500.3448484974,-81.10720698173276
750,798134.0502947742,-82.38980854212606
850,708360.4942870783,-83.77287715471427
950,654399.3375764446,-84.89316997710887
1050,600400.8863457355,-86.32246969209301
