Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,15256402.196823329,-23.384304686662297
150,6986491.843771968,-64.26667958642913
250,4796662.825127973,-71.7521065353969
350,3743441.413683664,-78.1255313967348
450,3104207.045870098,-84.34792669786484
550,2612978.033295397,-89.56429912307833
650,2209073.809091196,-94.52463195133413
750,1930155.673359487,-97.28138310297746
850,1703463.6057089125,-101.30447840181664
950,1545568.0568652668,-104.76532579847208
1050,1391127.0021680512,-108.22980857997109
