Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,21819.61000512103,-84.25716647551734
150,2737.0061895512085,-30.782167887639275
250,2385.6261043579557,-28.033290787639043
350,2145.81044975996,-28.221095373068806
450,2113.483029708159,-29.773979276676855
550,1925.1026478696213,-31.054130308587045
650,1831.341201730328,-32.48174091370213
750,1750.3402974040164,-32.56359970855559
850,1668.7581634988894,-34.28504994617122
950,1642.3858002524862,-35.522124135974934
1050,1568.8184087590985,-36.260510463823806
