Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,9697188.329518663,-18.867493611655608
150,6892050.397287296,-39.30689301470534
250,5108440.18701849,-50.14714537566392
350,4082270.573225345,-60.81938555038372
450,3351627.92623607,-67.30497596801891
550,2856527.9830920384,-73.08491652989632
650,2446679.398014479,-78.11252995076553
750,2365412.77998165,-83.03301969966914
850,2087278.2343714298,-86.26578602818044
950,1917314.5904573533,-88.49203462727326
1050,1751079.0667083387,-90.96609886338445
