Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,22783699.50387268,-56.63251668394291
150,9570984.06708308,-68.70124206779255
250,6068463.477187874,-75.09638175816644
350,4469009.317904112,-80.85627075095589
450,3981367.4778749123,-85.15018870087304
550,3347607.954326536,-90.48405220671029
650,2837694.173131023,-93.9736568848999
750,2498696.0114413365,-97.93860943267153
850,2149911.125641764,-101.75272214320691
950,1972899.1353175077,-104.42215435604086
1050,1713570.2632404442,-106.37303313510377
