Stimulated Channel,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15
None,1241489.19 Ohm,1564946.82 Ohm,1634840.11 Ohm,1493684.63 Ohm,1470449.37 Ohm,1457894.01 Ohm,1827724.06 Ohm,1752676.65 Ohm,1511480.23 Ohm,1632435.63 Ohm,3111.99 Ohm,1581488.47 Ohm,1464464.85 Ohm,1560810.95 Ohm,1784842.68 Ohm,1536281.33 Ohm
12,1239182.48 Ohm,1567513.35 Ohm,1570757.59 Ohm,1508765.14 Ohm,1477237.85 Ohm,1551076.15 Ohm,1821474.25 Ohm,1691404.94 Ohm,1506951.36 Ohm,1607101.35 Ohm,3010.94 Ohm,1668241.79 Ohm,1464450.30 Ohm,1562743.60 Ohm,1882198.82 Ohm,1484478.01 Ohm
4,1232104.09 Ohm,1097670.84 Ohm,1649511.90 Ohm,1618316.49 Ohm,1478016.75 Ohm,1509199.64 Ohm,1759585.19 Ohm,1665976.27 Ohm,1511298.74 Ohm,1632060.89 Ohm,2999.71 Ohm,1572529.12 Ohm,1470518.06 Ohm,1565670.32 Ohm,1768418.81 Ohm,1393712.20 Ohm
5,1197114.74 Ohm,1365278.94 Ohm,1539434.66 Ohm,1600899.79 Ohm,1459527.80 Ohm,1434612.31 Ohm,1678921.06 Ohm,1633142.10 Ohm,1489508.68 Ohm,1518514.76 Ohm,3075.22 Ohm,1547893.84 Ohm,1449993.51 Ohm,1547130.21 Ohm,1773893.47 Ohm,1315740.65 Ohm
10,1196152.06 Ohm,1410787.32 Ohm,1424828.12 Ohm,1595338.73 Ohm,114629.78 Ohm,1490835.37 Ohm,1723285.32 Ohm,1625385.38 Ohm,1483858.47 Ohm,1480380.99 Ohm,3016.94 Ohm,1588006.67 Ohm,1443185.91 Ohm,1552965.00 Ohm,1701607.94 Ohm,1383766.83 Ohm
11,1193766.74 Ohm,1871358.56 Ohm,1437266.77 Ohm,1618587.52 Ohm,125094.97 Ohm,96679.19 Ohm,1747861.09 Ohm,1618110.37 Ohm,1495761.85 Ohm,1546147.59 Ohm,3087.05 Ohm,1565203.06 Ohm,1441782.81 Ohm,1555210.97 Ohm,1750096.73 Ohm,1348818.33 Ohm
2,1196912.73 Ohm,1668297.68 Ohm,1408686.35 Ohm,1613366.83 Ohm,126128.52 Ohm,95742.60 Ohm,624685.17 Ohm,1582777.94 Ohm,1500657.77 Ohm,1447329.00 Ohm,3142.48 Ohm,1593322.82 Ohm,1448409.29 Ohm,1556051.17 Ohm,1729228.98 Ohm,1291865.53 Ohm
3,1201300.58 Ohm,1591263.94 Ohm,1503081.34 Ohm,1616656.06 Ohm,122310.09 Ohm,93767.05 Ohm,1648697.31 Ohm,1646750.79 Ohm,1503318.81 Ohm,1452787.49 Ohm,3062.24 Ohm,1599085.64 Ohm,1448347.61 Ohm,1557428.10 Ohm,1705053.85 Ohm,1350536.37 Ohm
8,1192016.83 Ohm,1583476.58 Ohm,1498253.70 Ohm,1386304.59 Ohm,122536.75 Ohm,92673.20 Ohm,1755421.25 Ohm,1608599.70 Ohm,108553.02 Ohm,1462508.94 Ohm,3042.07 Ohm,1574897.76 Ohm,1447133.66 Ohm,1562093.87 Ohm,1661322.16 Ohm,1279783.98 Ohm
9,1194422.36 Ohm,1601869.40 Ohm,1489120.08 Ohm,1439325.80 Ohm,122786.16 Ohm,90577.94 Ohm,1641203.06 Ohm,1680286.00 Ohm,105497.76 Ohm,104811.31 Ohm,3086.74 Ohm,1558934.39 Ohm,1452012.91 Ohm,1563848.62 Ohm,1740019.15 Ohm,1327195.59 Ohm
