Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,2512664.2933148257,-164.66937120625497
150,108576.39276214082,15.863656120386173
250,92346.42344170871,-4.1056684805954236
350,75666.5515995326,-15.826377358008385
450,69163.51197941302,-15.750794400463636
550,69387.28033592772,-20.62229065398067
650,65175.173729836584,-22.64422680608369
750,65358.94393744929,-26.326400157242965
850,60490.58765899234,-28.448281981665634
950,58520.66951510652,-30.8735950535115
1050,56916.913224296,-32.091381952735844
