Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,21856232.476822954,-74.65292841852883
150,7795339.155989118,-81.55672574402911
250,4910087.047875294,-85.04461134349836
350,3570304.883747315,-87.62765191966727
450,2818700.86876702,-89.38711176911792
550,2323725.284435601,-91.41397664774121
650,1978580.6314484344,-94.1844120165655
750,1734196.5903054352,-96.41173710403565
850,1516313.9184823837,-98.44713721182343
950,1390275.7461064663,-99.62606565302676
1050,1252334.5358729737,-101.53284349448356
