Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,4926292.253591928,-9.91166943466593
150,4043033.425682243,-24.070328020860245
250,3370354.6208975865,-31.68933410120753
350,2928754.0355867795,-39.26003790260815
450,2635019.8255482865,-47.64993236686361
550,2392578.1460766587,-55.694807435307666
650,2137405.0886754626,-62.552817270585955
750,1926376.51872951,-67.36259760406594
850,1714822.8416672566,-70.76574574105962
950,1551121.6725828317,-70.44225995139423
1050,1456366.8191133922,-75.80722332867916
