Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,115807.16052473856,103.4239063634423
150,7533.787940249485,-58.65443794510004
250,1373.496021029696,-8.376426149054257
350,1321.7767146862789,-2.487304082407066
450,1326.7995755484792,-9.240549011195236
550,1298.445660844355,-3.852428840455697
650,1272.3813475042195,-6.402115625371556
750,1278.667210642642,-7.977233787330256
850,1271.7508443132415,-10.261141260154137
950,1240.1765560479578,-9.804772157629504
1050,1241.7114566267737,-11.04917302553707
