Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,1168611.1854202352,12.543254569635755
150,476336.79822624975,0.9730778592965887
250,694408.7006443393,-9.508850385852517
350,741048.7998791662,-19.973491638282557
450,774943.6111798781,-25.717926599926358
550,835881.8232778098,-32.43229179974309
650,812127.706429439,-37.14182276522916
750,750356.5423080937,-41.17423206617747
850,717178.5776084741,-49.52898674158456
950,700272.2643581274,-52.966504924637924
1050,637099.7331655243,-56.51950378560711
