Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,11803666.207989786,-61.39235499534162
150,7724090.817909187,-62.44057247631906
250,5186440.565275681,-71.7651806214223
350,4032747.8998229243,-76.51085986510368
450,3287819.5375331654,-81.55127246517948
550,2760981.941579724,-86.40381124389035
650,2326644.9853922124,-90.98090236197439
750,2030280.5128882546,-93.94171140295225
850,1778755.1441165782,-96.29511621618649
950,1634233.3758029516,-99.30080890374782
1050,1481199.724097164,-102.26247450836554
