Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,10663976.294585995,-57.423130183875934
150,4320988.332007599,-81.61012437277192
250,2686007.5227870084,-82.3380130719099
350,1964558.1853262857,-83.50442773611863
450,1557856.0730566713,-84.92900627724663
550,1300801.2764370611,-86.19090625224801
650,1099503.353252478,-87.6766483057497
750,965683.042888599,-89.2071599463295
850,851891.3398509609,-90.64231486802235
950,783337.7188953164,-91.80220745028988
1050,714278.0353668944,-93.16796199442753
