Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,25425915.175619297,-23.002682220581985
150,16448428.316995557,-53.10480119524299
250,11716540.777914917,-72.61392280053697
350,8608889.975526579,-79.67589311915967
450,6878900.253112554,-85.77552946593741
550,5677086.854338326,-92.30023370244876
650,4850674.01232127,-101.86757434036646
750,4204996.742155602,-108.13488161733501
850,3589700.5052769165,-112.13487207224317
950,3272834.7259579403,-116.5064848569368
1050,3214306.7227339516,-122.03809037010234
