Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,90149.14475415346,37.810627385407415
150,148218.38735808543,-17.99257614463412
250,135989.8999934936,-21.473897423255362
350,129451.42211018065,-24.01212585520537
450,123919.27272097678,-26.548674201749346
550,118725.25207926797,-28.97471786326185
650,113684.59717069371,-31.55932245767671
750,109685.4087326534,-33.8924504839215
850,105643.22184734166,-36.43896028949523
950,103263.74789057022,-38.37136570119209
1050,99665.32002078742,-40.57445825543347
