Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13831161.619281061,-81.64699710469067
150,4772595.163300962,-82.6926211744475
250,2943919.1362042455,-83.44901412384563
350,2144205.9226792613,-84.94107329276714
450,1697934.9620204205,-87.07066379781554
550,1404868.314807951,-88.53315312991172
650,1188463.221969434,-90.83550850415959
750,1039647.2887385294,-92.46764777196942
850,913674.3033736923,-94.3186039836245
950,839482.1437868282,-95.92102290849397
1050,757782.8702019367,-97.30803038683892
