Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,20445386.344563965,-24.757269427526552
150,10248274.645189729,-64.98910698620054
250,7446632.850284578,-76.128019342848
350,5737376.538702312,-81.57580152115834
450,4364230.038651377,-84.9309283740681
550,3641811.1270466405,-87.96239060526842
650,3094186.2778646965,-90.89955475252914
750,2712336.3371969843,-93.41847886884808
850,2364798.9463606686,-95.92366824541303
950,2182356.1902847574,-97.86338275811381
1050,1971316.7590252447,-100.08798622680429
