Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,3376714.50219793,167.3202039682628
150,338018.1929505448,63.373936169722356
250,82418.69305102187,5.884516216194393
350,76762.7770896779,-11.239751356969482
450,72661.51477195066,-16.585337700056936
550,72677.4772771512,-22.841169076951953
650,65363.666865476436,-27.679364614874544
750,62870.63158453401,-30.731006361742097
850,62031.08132636856,-34.065931500260014
950,59308.823459023784,-37.20881850899926
1050,54942.73447006149,-39.210413410851984
