Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,11059724.631162893,-14.805485958608346
150,6398314.911731516,-61.452780626896256
250,4650411.132409225,-71.21385261929746
350,3606977.404955512,-77.53065063958373
450,2951504.529654408,-83.64242082253651
550,2473356.2579473075,-88.08891870433985
650,2106938.2739529503,-92.765415890645
750,1834729.8640742712,-96.02127630203788
850,1604176.5257837772,-98.81568548587174
950,1470236.3894236453,-102.3285627743994
1050,1332516.97931652,-106.35878445480986
