Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,30271738.07978372,-36.65056712406716
150,20917346.575636998,-71.8480734439936
250,12850901.943275612,-83.99364388175152
350,9520587.557367597,-87.57336821868124
450,7400355.996804936,-95.27436454519612
550,6074488.078298012,-98.84895707099575
650,5045898.71280951,-103.96789911944762
750,4415317.354075825,-108.04329230018534
850,3780643.716526986,-112.5129577913265
950,3439426.926697104,-115.6332942015549
1050,3030149.865289629,-118.5963985253446
