Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,10923239.753235213,-17.34775650415788
150,7015058.177700191,-52.40162266688722
250,4830754.143148153,-58.72544821343835
350,3900968.774294514,-69.30442429104677
450,3227845.4113259856,-76.48947844702425
550,2713896.0411641127,-80.8863689415604
650,2301171.894995513,-85.03863006387327
750,2037519.4341674403,-89.31595024805097
850,1792130.5724174208,-92.76677133110589
950,1639942.953018323,-94.6032925875141
1050,1485105.4536411776,-97.05370629114138
