Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13275648.77955942,-20.862699507693854
150,8015783.716211724,-58.29753059470368
250,5347557.622185457,-64.57958846916264
350,4125751.0692129866,-72.5822579156223
450,3303194.5822669077,-76.52189181629362
550,2748248.1123776217,-79.10619085302527
650,2337000.3252968667,-82.93005157571795
750,2041931.3322658495,-85.09162107519175
850,1787914.8832548284,-87.11071640566954
950,1629501.5919425287,-88.33367362934466
1050,1485543.3120710617,-90.62774251994145
