Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,14909716.316408934,-64.05362433797477
150,8252680.793953259,-63.03454456536595
250,5682971.791401322,-72.43937930299437
350,4380132.2793853935,-77.68497613928315
450,3543341.698401982,-84.6784742028603
550,3072603.029991032,-94.6747376197109
650,2803219.00420267,-97.17462730515335
750,2414815.2771289926,-100.56404812379415
850,2130668.05600206,-103.91257491182269
950,1854728.3940095522,-107.84928363963324
1050,1729633.6272082615,-108.636587747259
