Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,249482.36160054838,-24.541527915992482
150,187786.94369006314,-23.746229780922665
250,167949.19127324212,-26.564359139577746
350,155489.47657621308,-29.497709195206287
450,146353.35647701644,-32.459720403319075
550,139671.15097648563,-35.38471772515576
650,132725.27598206888,-38.464723801895126
750,126676.5431958867,-41.20972437200273
850,121613.29822508288,-44.220997947742156
950,117738.23892868169,-46.45329948747878
1050,114304.61592727281,-49.90989987741173
