Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13789304.849542534,-20.552054104187725
150,8025952.482717831,-57.55432690188706
250,5428435.432194237,-63.43592172449087
350,4173712.521434211,-70.30015539135388
450,3371070.0641648015,-74.23737782532162
550,2829268.9375186376,-76.7658484097911
650,2385256.0361051173,-78.57851802327221
750,2095907.1551556967,-81.0161094576316
850,1855541.420947846,-83.75838360035272
950,1712660.3761212945,-85.66293760679089
1050,1546733.2068713282,-87.03883140871805
