Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,4637113.932665155,-31.157005495910123
150,741966.3633859451,-4.427154619609875
250,275730.112525977,-23.67442077591548
350,259566.97108935137,-21.123916349760716
450,226887.03200305652,-18.16659706811234
550,210316.23301526083,-16.53823735522022
650,198506.95779736197,-17.08414284844561
750,188785.87530143256,-18.541588430969533
850,292267.9069429426,-42.55461793428967
950,288168.4118711897,-51.2712613697844
1050,252447.09153433813,-44.77951256670974
