Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,4643443.864441231,160.67158974536542
150,1127995.1612296843,-21.70774880800155
250,321230.0805457236,-18.45589394932852
350,275712.49113046384,-14.147169044202885
450,526954.6921040043,-38.86015153299595
550,555799.4951158806,-45.359734948711235
650,439673.52506141365,-39.62004330131555
750,375513.9467373213,-49.211823465360915
850,373202.86999708746,-54.427999263127596
950,352936.0649031167,-52.62270730064688
1050,343505.7348899616,-58.577898608949425
