Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,23196348.78042478,-49.098963191477104
150,10254774.30867803,-65.04635673777848
250,7449282.664849213,-76.05109072896524
350,5708011.405609603,-81.10898754465832
450,4348255.733852445,-84.51721865729549
550,3642582.827815915,-87.61618119995819
650,3094120.3955739145,-90.68913209555417
750,2706038.933784601,-92.99707086918241
850,2363240.9351105792,-95.70184206068602
950,2181206.999209699,-97.65412266480571
1050,1970380.7065618916,-99.71543427342975
