Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,20774529.88879489,-36.88809845035781
150,7435050.756969365,-64.22166892374625
250,5065068.637910597,-73.78337856889978
350,3991682.652765071,-79.54162954157155
450,3283518.523745354,-86.12860737703977
550,2761099.2964777015,-90.8295158404548
650,2317434.315778715,-96.40510489740579
750,2023044.5885494766,-99.8822852457309
850,1768674.7457777178,-103.39609751026632
950,1618621.7539766186,-107.09651535866293
1050,1455621.988484793,-110.33868739004377
