Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,230002.03512230286,-26.707717987612853
150,178184.70001749328,-23.62931044934143
250,160703.9045318056,-24.614699881199428
350,151594.34017722547,-26.4592042354298
450,144133.0747146579,-28.756728284273752
550,137260.3851702433,-31.00579166020455
650,131078.37661210395,-33.52522888315843
750,125760.83587132535,-35.769688041864164
850,120377.1763464687,-38.289292468365986
950,116909.53131233549,-40.109022637621244
1050,113003.65506706646,-42.17374467210423
