Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,12346494.444782922,-79.9186034309247
150,4508995.19424304,-79.16173967821483
250,2872877.8367087115,-79.80160091271442
350,2122435.00108749,-81.39623245016693
450,1696477.6581777213,-83.94933332343153
550,1415057.7897622706,-85.84958990896226
650,1195942.4564061547,-88.06910087731728
750,1048303.6166058552,-89.88597695455378
850,920809.9651726288,-91.75886964137834
950,845583.2273717605,-93.32457732214867
1050,765889.4400007324,-94.95212413572948
