Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,28581674.674363337,-68.83671868817659
150,10291778.717672698,-77.4869847630594
250,6339550.651089409,-82.09346544734288
350,5260052.611707433,-83.38897354354977
450,3965424.7704633134,-86.23512760810905
550,3294689.9909921037,-89.10627938421274
650,2794381.8693033215,-92.81708787323642
750,2432064.8119656774,-95.19455807138219
850,2140800.6313949996,-97.53474871347001
950,1968330.011387268,-100.07434241981798
1050,1779449.0106025585,-102.40910124230855
