Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,17383929.74339168,-3.614512495189871
150,7988844.3262217175,-44.93738598510142
250,6064912.546907575,-52.54207050891184
350,4371752.997390681,-68.37856282006223
450,4170402.242519081,-77.63982083656704
550,3630772.1528964723,-78.41163623524889
650,3157461.9178684666,-85.62946452453524
750,3122961.8009174573,-88.90319892526377
850,2653108.1355171488,-93.90000103164077
950,2444413.8307703794,-97.98324968047517
1050,2221762.6458196947,-102.02372753533633
