Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,27529616.67723159,-70.3517819931787
150,10272333.203369565,-80.33458435745065
250,7432982.898765559,-85.32151594768906
350,5240554.033535877,-85.0071086236777
450,4124233.7795461453,-88.83064115943496
550,3458643.728433812,-91.29690495183823
650,2947130.9953681855,-95.81866273866594
750,2592284.778095941,-98.20297688523105
850,2276855.3987605493,-100.25946390187516
950,2105127.789834886,-103.12909450136374
1050,1894632.981429262,-104.98203360484192
