Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,18506742.04914271,-44.56682473390607
150,6621978.941761317,-63.92093527744041
250,4712908.239705646,-72.61695007845961
350,3767825.20576813,-78.76961609549957
450,3118497.902565987,-84.46794531615336
550,2605373.495319924,-89.16947625188976
650,2215475.3594779065,-93.4541286372252
750,1929020.6943338637,-97.14517241517582
850,1700712.142719584,-101.45585675659247
950,1548542.6385016066,-104.50582766992872
1050,1404551.5354208802,-107.96398171254013
