Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,29990898.040882092,-72.00945554199815
150,13112075.112420687,-79.32384025593704
250,7141577.958378002,-84.99673009760822
350,5570581.607433664,-88.17176030795684
450,4114414.3364592115,-88.86467560219596
550,3399584.8364575487,-91.20778805807716
650,2858405.152777062,-94.46472776777718
750,2505075.717532606,-96.33284209260518
850,2197624.628874502,-98.11575252055515
950,2020146.3418753026,-100.2271432357315
1050,1823169.4130829072,-101.8938551790995
