Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13616653.384476678,-6.530369701010026
150,8662128.183867225,-52.49927780730613
250,5966527.376763934,-64.63064792906215
350,5231605.6116716005,-71.85513570388605
450,4174402.5956396027,-77.19518929425632
550,3527405.2755826022,-82.14636845186972
650,2998680.0655345437,-87.27327834647701
750,2653807.3533551586,-90.65421173931401
850,2328109.06857399,-94.7358845963777
950,2150602.4677144582,-97.38596304798602
1050,1949435.7146323123,-100.56291564509158
