Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,212141.71181418846,-28.53556195019233
150,148891.51120621106,-27.670729028497323
250,132406.664660707,-28.594544210750136
350,123772.3798578715,-30.923643058595946
450,116515.78716844937,-33.5563984542028
550,111218.83683061402,-36.26815193049906
650,106220.64335546103,-39.341594322022274
750,101382.30667710275,-42.17290461784919
850,96931.92213787111,-45.13524348542181
950,93895.23522245801,-47.35927745123768
1050,91831.0285400232,-50.78224103855126
