Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,2546941.072534401,172.49289557175968
150,424640.94898584735,-29.268782303591436
250,280932.94636015844,-20.207448905539458
350,246429.34275637468,-16.26281403715817
450,226624.32827754205,-14.910353018859654
550,215558.2553566403,-13.679233424408027
650,202795.33468224973,-19.088007707404472
750,191357.63028645652,-21.496113768654386
850,315716.9826882435,-58.032093342767155
950,324360.9632560172,-54.13741034804288
1050,308473.9896265836,-63.113725289857044
