Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,2875234.2866032356,-169.67648165220587
150,323258.009867885,-5.676481969631644
250,269322.9778270636,-19.1523641879037
350,244577.44420607528,-11.853093856135722
450,240856.84068006926,-11.432677583683711
550,207881.24782554028,-10.420776647500738
650,205069.91941080007,-11.801473027909072
750,192779.96208329016,-16.13621556915321
850,295067.9806167402,-40.4397202202973
950,263547.60761869664,-48.3169330924931
1050,254645.5114522996,-51.22914734984268
