Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,6979457.180767264,-27.78125936728125
150,4292658.226816644,-52.066550702200225
250,2955388.5622372287,-60.31222419041691
350,2289347.2956313873,-66.34527026781811
450,1870332.3499320238,-70.28483368892653
550,1589564.7041037253,-73.57271612905672
650,1362194.6148720467,-76.4957364338227
750,1210364.8881828384,-79.39308976604916
850,1075782.8951187888,-82.0417617674927
950,996505.0845949682,-84.15792691747356
1050,912183.1765671202,-86.178839462085
