Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,10996213.89269118,-54.15226075555859
150,4566583.5791866705,-81.78531830467469
250,2804828.3590209438,-82.89308973110008
350,2038890.6086817863,-84.47256545405364
450,1616033.355903185,-86.66301317702073
550,1339691.1175945406,-88.25794151092741
650,1139114.8562256254,-90.1487444587271
750,996561.3952630373,-91.66187380664712
850,877050.0298617714,-93.14700428710262
950,806712.3076976802,-94.69734339808112
1050,730973.9579308246,-96.10521652664778
