Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,6697110.004370932,-161.86137226719308
150,672915.4247782596,-48.36841598959189
250,316708.75716862624,-19.746453033929885
350,326021.19830637577,-19.637886440885055
450,308848.86653925874,-21.548194624948575
550,289631.23108733055,-36.34826363917776
650,227777.24187073144,-52.50340826714876
750,226588.4485164549,-48.4426493361229
850,234581.46773577362,-53.61613041944094
950,196308.21743827115,-54.65244442241955
1050,269915.70300372416,-62.56601000992187
