Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,25221206.469980393,-35.630620534861805
150,20783806.058430735,-72.85187879777749
250,13019832.397780852,-86.18322368992065
350,9540958.48950927,-87.90770592826794
450,7420960.861094325,-96.61794753082998
550,6120481.150923753,-99.91491857094374
650,5067029.363219174,-104.98295780322809
750,4377332.769622778,-107.83038325847751
850,3789207.995167194,-112.53020143696445
950,3434942.687129646,-114.97821302486764
1050,3017629.860897221,-119.04509536281286
