Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,13929577.56150589,-19.609173174122546
150,7372970.228057094,-55.37973092760035
250,5267692.6067154575,-66.51550082788866
350,4053617.875786406,-74.31967624687931
450,3219885.6093355813,-77.28199831331717
550,2715190.8245412684,-80.75642416792579
650,2306625.100280887,-83.82751267813282
750,1994429.0234771378,-85.24318473304685
850,1727593.2350864422,-85.97546279402533
950,1650340.819197087,-89.73599097068994
1050,1469336.1582270947,-90.45604000562678
