Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,3241.917570923023,1.6864207545439656
150,6989.037556505038,-64.08556202878715
250,2373.0440174153077,-28.211725700421425
350,2185.9602741988756,-29.418465891941334
450,2015.1484996730323,-30.940593883425088
550,1910.0286135341742,-32.11849720813706
650,1798.3867094599266,-33.73318738278771
750,1827.5285415095607,-34.86504580109529
850,1688.6933021602792,-36.29478895974425
950,1602.5885368402655,-37.513908312399415
1050,1540.7035569049676,-38.51695127967549
