Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,190032.3949674852,-31.673848683140033
150,143362.45235361144,-26.32057675417973
250,129348.25409529531,-27.549210752643734
350,121034.23024320578,-29.86456090699056
450,115256.37924245697,-32.74062073008176
550,110612.14755726334,-35.71709774305115
650,105876.22479327636,-38.845588875426586
750,101280.34743016347,-41.72450474522941
850,97615.52902185627,-44.970770218141595
950,95845.70514211142,-47.28448547346044
1050,93218.83155081143,-49.63451166866613
